oSCORAD;EASI
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0.5
8;0.5
9;0.5
10;1
11;1.5
12;1.5
13;1.5
14;2
15;2.5
16;2.5
17;3
18;3.5
19;4
20;4.5
21;5
22;5.5
23;6
24;6.5
25;7
26;8
27;8.5
28;9
29;10
30;11
31;11.5
32;12.5
33;14
34;15
35;16
36;17
37;18
38;19.5
39;21
40;22
41;23.5
42;25.5
43;27
44;28
45;29
46;30.5
47;31.5
48;33
49;35
50;36.5
51;37.5
52;38.5
53;40
54;41
55;42
56;44
57;45
58;46
59;47
60;48
61;49
62;50
63;51.5
64;53
65;54
66;55
67;56
68;57
69;57.5
70;58.5
71;59.5
72;60.5
73;61.5
74;62.5
75;63.5
76;65
77;66
78;67
79;68
80;69
81;70
82;71
83;72
